entry,eLink,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Calib,Ch18,Ch19,Ch20,Ch21,Ch22,Ch23,Ch24,Ch25,Ch26,Ch27,Ch28,Ch29,Ch30,Ch31,Ch32,Ch33,Ch34,Ch35
4,5,0,0,0,30720,0,0,0,0,0,10240,0,26248192,31462400,0,2138112,12288,0,117463040,49294336,0,0,0,2109440,11264,0,0,0,0,0,17830912,12288,0,0,13312,0,0,20987904
4,6,34609152,0,13312,31481856,0,0,118997,2154496,17408,0,13312,11545600,0,9453568,0,14336,1059840,4208640,0,0,105924608,0,0,0,24576,155225088,52438016,1056768,0,3154944,0,3152896,0,0,9454592,0,0
4,7,74752,0,0,0,0,0,9216,1061888,0,0,53486592,18880512,0,38912,10240,0,0,0,14336,4203520,62464,0,0,0,0,0,0,40901632,95436800,17408,27268096,55583744,0,21504,16384,0,0
4,8,0,0,0,0,0,2107392,0,61877248,12288,15360,0,0,28316672,9216,62464,53487616,10532864,0,0,5283840,1055744,0,1060864,0,0,2155917610,26235904,0,6318080,0,0,40960,0,2180309,45096960,0,0
4,9,173092864,30481408,3205120,10565844,0,0,0,213200,3175424,0,0,0,39936,28316672,0,6144,0,47193088,0,62925824,134279168,0,24576,0,33562624,13645824,0,132143104,0,84962304,2124800,1071104,0,0,1198297,0,0
4,10,0,12288,0,149065959,0,0,2163712,0,0,10240,143804,0,12288,25195520,0,0,17830912,0,62464,29426688,13734083,57680896,0,6301696,0,94412,1068032,0,4210688,42998784,0,0,0,0,74752,0,43008
4,11,27268096,1212632,0,0,0,70267904,0,0,0,0,0,0,8410112,0,0,0,0,31463424,0,3192832,0,0,0,0,77824,260120576,0,29365248,0,10240,26459343,29392896,31463424,17844224,8192,2107392,23122944
5,0,0,0,0,9516245,0,69632,53496832,41951232,0,0,2147328,0,73412608,0,0,0,0,0,0,0,14732288,0,0,0,0,33573888,0,93341696,0,0,0,0,94388224,164655104,0,1068032,34816
5,1,10535936,1093632,133647,17408,0,3161088,27289600,68196352,0,174094336,1095680,0,0,80844991,10500096,12599296,10240,24181760,10500096,0,0,0,0,55296,0,308335616,0,0,0,18432,0,0,0,0,0,0,1084416
5,2,0,0,0,0,0,49351680,67584,0,57681920,0,46146560,0,25600,0,0,0,0,0,0,36864,0,0,0,0,0,17408,0,0,0,0,9216,115365888,0,55583744,0,0,0
5,3,2151424,0,0,0,9516242,0,0,0,0,0,42998784,0,0,0,35840,0,0,0,35840,0,0,0,0,0,0,0,0,0,0,0,0,0,96489472,0,0,0,0
5,4,0,18920448,49292288,40901632,0,0,0,87047168,30413824,71315456,11545600,0,0,37755904,0,0,0,0,0,70285312,24159232,0,0,0,9447424,0,47104,39936,0,0,0,0,9216,56632320,0,0,0
5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46080,78656512,0,34610176,9216,66071552,34632704,0,0,0,0,6302720,20480
5,6,0,0,0,103826432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15787008,0,0,0,13312,0,13312,0,48254976,9216,47196160,77607936,0,0,0,26227712,57689088,0
5,7,0,0,0,0,4243456,4205568,0,0,0,0,93399,0,0,0,0,0,0,8406016,0,0,0,0,0,0,0,0,0,0,0,0,25170944,0,0,0,0,0,58729472
5,8,0,0,62464,0,0,0,0,81803264,0,0,2111488,0,59776000,70656,6144,0,4211712,13312,67123200,20977664,43008,0,15360,0,10240,9216,0,0,0,0,18925568,2154496,0,0,0,0,0
5,9,0,0,0,5344461,35673088,0,0,101728256,313579520,0,70268928,0,22035456,82848768,67123200,2105344,7364608,20480,0,0,38836224,0,0,54537216,0,0,3180544,6302720,18929664,0,5266432,0,68167680,0,0,0,0
5,10,0,0,0,0,0,0,68168704,33559552,0,25176064,0,1063936,0,22049792,3167232,0,26245120,54567936,6144,0,0,0,0,0,0,0,0,0,0,0,46146560,0,0,93338624,0,0,0
5,11,9482240,25209856,0,0,3173376,0,2103296,0,5269504,68608,0,39855104,86007808,0,0,0,0,0,3167232,0,0,1073152,14690304,4202496,4202496,0,0,30475264,0,47194112,27269120,0,0,1053696,0,52438016,73412608
6,0,0,0,0,0,16384,0,0,0,0,4205568,0,0,0,0,41984,0,0,0,41984,0,0,0,0,0,37756928,0,55583744,1056768,1143013,0,0,3158016,0,22528,0,0,0
6,1,31744,2185422,16384,8408064,0,0,79705088,0,12600320,1160403,0,0,0,0,24576,31744,0,105924608,24576,18880512,0,0,0,0,0,0,0,24576,1098752,15360,207655936,0,0,0,24576,12288,0
6,2,8481995,0,0,0,0,0,7168,0,0,0,0,0,0,2105344,0,0,5263360,0,0,25170944,0,0,0,0,16384,0,0,0,0,0,0,0,0,0,0,0,0
6,3,0,0,0,0,0,15762432,0,0,0,0,0,0,0,0,33559552,0,2134016,35840,33559552,0,1053696,40901632,0,13652992,2129920,11264,1057792,0,0,0,0,0,0,0,0,0,0
6,4,0,0,61876224,5258240,0,0,0,0,0,0,19936256,12288,0,22528,6302720,0,0,0,0,0,0,0,0,0,8192,0,0,0,285262848,0,0,0,0,0,0,0,0
6,5,92291072,0,9216,0,0,0,12594176,29696,0,0,0,0,1058816,45056,0,0,0,0,0,46144512,0,0,0,0,0,13312,0,0,0,0,0,8192,0,22528,0,0,0
6,6,0,0,0,0,0,0,58793984,0,0,77609984,0,9216,0,0,0,0,0,0,0,2112512,0,0,0,0,0,0,0,11264,0,33792,0,0,12288,0,0,0,0
6,7,0,0,0,0,0,0,0,0,0,0,0,22073344,0,35657728,0,0,1057792,22037504,0,0,0,0,0,2145280,0,0,0,0,0,1058816,0,0,0,0,0,3215360,0
6,8,29696,0,0,0,0,0,0,0,38812672,0,0,0,0,0,0,0,0,0,0,0,11550720,12592128,0,39853056,0,0,0,0,0,0,51391488,16786432,0,111168512,0,0,0
6,9,44047360,0,7168,5274624,0,0,25171968,0,0,41953280,0,0,29696,91241472,0,0,0,0,0,94389248,0,0,13636608,0,0,14336,0,11581440,0,62925824,4269056,0,0,0,0,51388416,1074176
6,10,30720,0,0,0,5259264,0,0,3166208,0,0,0,0,0,0,21504,0,0,0,0,43000832,0,2132992,0,0,0,59789312,26624,0,127966208,0,41984,16782336,0,2122752,47104,0,1105920
6,11,0,0,0,0,0,0,0,0,0,0,0,98534,1094743040,0,0,0,0,0,21504,0,0,0,0,0,0,0,0,0,67120128,0,31462400,81128,59779072,0,0,48241664,10506240
7,0,0,0,0,8397824,0,0,12594176,0,0,0,35657728,0,0,0,0,0,0,0,0,55592960,0,56633344,0,0,309384192,0,0,0,32512000,0,13312,29366272,0,0,2106368,0,0
7,1,0,1061888,0,56632320,0,7347200,0,21002240,13636608,37754880,13312,0,0,0,157314048,0,10240,0,157314048,0,0,0,0,0,13312,12288,0,10549248,0,0,0,0,0,0,75511808,69217280,16384
7,2,0,0,0,0,36864,0,85998592,0,0,0,34609152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106944,0,0
7,3,0,51390464,0,99631104,0,0,0,0,0,0,0,39879680,0,0,115375104,0,74461184,0,115375104,0,0,0,10240,0,8398848,0,0,0,7364608,0,77824,0,72364032,1063936,2106368,0,3196928
7,4,24576,19928064,27274240,0,0,0,95436800,6303744,0,0,0,0,0,28316672,75511808,0,0,0,0,19929088,0,24123392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,0,0,0,0,0,0,0,40901632,0,0,0,0,22528,0,0,0,0,0,0,0,0,0,0,13312,0,0,0,0,0,0,0,0,0,0,77607936,0,0
7,6,0,0,0,0,0,0,103827456,0,1067008,49291264,0,0,0,18880512,0,0,0,5120,89196544,0,38803456,0,0,0,0,113269760,0,0,0,26221568,0,0,0,0,11547648,0,74471424
7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89196544,0,0,0,0,0,0,0,0,0,0,0,34609152,0,0,0,0,0,33559552,0,0,0
